#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
,0112,310,Entitats Financeres,Interessos prèstecs,,,423838.31,-20078.59,403759.72,331605.72
,0112,352,Entitats Financeres,Interessos de demora,,,0,0,0,45.01
,0112,913,Entitats Financeres,Amortitzacio prèstecs,,,387843.49,20078.59,407922.08,407922.08
,1320,120,Seguretat i orgre públic,Retribucions bàsiques,,,499187.22,5137.92,504325.14,466161.19
,1320,121,Seguretat i orgre públic,Retribucions complementar,,,838634.16,-60017.04,778617.12,805199.72
,1320,151,Seguretat i orgre públic,Gratificacions,,,71067.52,5111.94,76179.46,80665.47
,1320,160,Seguretat i orgre públic,Quotes socials,,,410344.61,0,410344.61,374511.16
,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,45000,1297.24,46297.24,44751.61
,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,1000,0,1000,2721.53
,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,2000,0,2000,1484.54
,1320,221,Seguretat i orgre públic,Subministres,,,20000,5082.38,25082.38,21750.14
,1320,226,Seguretat i orgre públic,Despeses diverses,,,0,0,0,706.28
,1320,231,Seguretat i orgre públic,Despeses locomoció,,,5000,0,5000,3624.4
,1320,623,Seguretat i orgre públic,Inv. nova maquinar. intst,,,0,60556.92,60556.92,34179.31
,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,1001,REHAB. CASSETES AGROCROS,1,184711.74,184712.74,180579.16
,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,,,0,193160.2,193160.2,193160.2
,1321,227,Seguretat ciutadana,Treb.real.altres empreses,,,0,50964.98,50964.98,40626.34
,1330,219,Control del trànsit,Rep.mment cons.altre Immo,,,10000,1842.2,11842.2,12114.35
,1330,221,Control del trànsit,Subministres,,,5000,0,5000,885.75
,1330,611,Control del trànsit,Inversio reposicio infrae,1002,SEMAFORS NOUS I OPTIQUES,1,-1,0,0
,1331,202,Recollida de vehicles,Arrendament edifici,,,18100,-15205.06,2894.94,9553.24
,1331,227,Recollida de vehicles,Treb.real.altres empreses,,,50000,0,50000,38595.34
,1510,120,Urbanisme,Retribucions bàsiques,,,101983.98,-7547.64,94436.34,87417.33
,1510,121,Urbanisme,Retribucions complementar,,,135215.64,-24631.75,110583.89,117549.54
,1510,160,Urbanisme,Quotes socials,,,69085.35,0,69085.35,53984.63
,1510,226,Urbanisme,Despeses diverses,,,5500,0,5500,2001.23
,1510,227,Urbanisme,Treb.real.altres empreses,,,6000,-6482.77,-482.77,3016
,1510,626,Urbanisme,Inv. nova Equips informat,1003,CONVENI CARTOGRAFIA,7315,0,7315,7115.1
,1510,622,Urbanisme,In. nova Edificis i const,,,0,397059.25,397059.25,397059.25
,1510,626,Urbanisme,Inv. nova Equips informat,,,0,0,0,0
