#Aplicación presupuestaria,Economico,Desc. capítulo,Desc. Economico,Suma Prev. inicial,Suma Modificaciones,Suma Prev. definitiva,Suma DR netos
2011,11200,,I.B.I. Rústica,40445,0,40445,38163.03
2011,11300,,I.B.I. Urbana,3880000,0,3880000,3930792.81
2011,11400,,I.B.I. carac. Especials,30000,0,30000,0
2011,11500,,Imp. Vehic. trac. mecànic,1200000,0,1200000,1045991.5
2011,11600,,I.I.V.T.N. Urbana,275000,0,275000,192824.29
2011,13000,,I.A.E. Activi. Empresaria,803000,0,803000,606537.89
2011,29000,,I.C.I.O,550000,0,550000,89984.51
2011,30000,,Taxa Servei Submin. Aigua,0,0,0,0
2011,30100,,Taxa Servei Clavegueram,0,0,0,0
2011,30200,,Taxa Recollid. residus ur,125000,0,125000,81545.99
2011,30900,,Taxa Servei Cementeri,5000,0,5000,5077.76
2011,31300,,Taxa utilitz. poliesport.,33000,0,33000,36382.77
2011,31301,,Taxa utili. Piscina Estiu,75000,0,75000,52890.12
2011,31302,,Taxa utili. Piscina Cober,260000,0,260000,178212.05
2011,31901,,Taxa utilit. locals Públi,6000,0,6000,802.15
2011,32100,,Taxa Llicències urbanísti,38000,0,38000,13850.97
2011,32200,,Llicènc. prim. ocup habit,15000,0,15000,6141
2011,32300,,Taxa Altres Serv. Urbanis,6000,0,6000,0
2011,32500,,Taxa exped. docum. admin.,6000,0,6000,3855.54
2011,32600,,Taxa serv.retir. vehicles,105000,0,105000,53939.77
2011,32900,,Taxa Llicèn. obert. estab,70000,0,70000,47582.24
2011,33000,,Taxa EStac. Horari Limita,35000,0,35000,0
2011,33100,,Taxa Entr. Vehi Voreres,115000,0,115000,107185.37
2011,33200,,Taxa Emp. Expl. Suministr,220000,0,220000,214810.81
2011,33300,,Taxa Emp. Expl.Serv.Telec,65000,0,65000,17992.46
2011,33400,,Taxa Ocup. Vies Obres,14000,0,14000,2967.92
2011,33500,,Taxa Ocup.Vies Taules i C,35000,0,35000,24172.32
2011,33800,,Taxa Comp.Telef.Expaña SA,70000,0,70000,33784.99
2011,33900,,Taxa Ocu.Vies Mercat Fest,70000,0,70000,49616.2
2011,33901,,Taxa Ocup Vies Fira S.Seb,60000,0,60000,32575
2011,34200,,P.P.A.E. cursos EPA,30000,0,30000,24155
2011,34201,,P.P.A.E.C. Escoles N/P/E,16000,0,16000,14156
2011,34202,,P.P.A.E.C.Campament Estiu,7000,0,7000,6155
2011,34203,,P.P.A.E.C.Escola Matinera,15000,0,15000,6910.6
2011,34400,,P.P.A.E.C. Teatre,6000,0,6000,2084
2011,35000,,Contribucions Especials,1,0,1,0
2011,38900,,Reint. PPTO. tancats  O.C,1,0,1,25595.77
2011,38901,,Reinteg. Estat i S.S.,1,2861.08,2862.08,75259.56
2011,38903,,Reinteg.Pom.Vivendes VPO,1,0,1,0
2011,39100,,Multes Infrac. Urbanistiq,2000,0,2000,500
2011,39110,,Multes Infrac. Tributaria,2000,0,2000,0
2011,39120,,Multes Ordenança Circulac,82000,0,82000,8008.62
2011,39190,,Altres Multes i Sancions,4000,0,4000,7200.01
2011,39200,,Recarrecs Sense Requerime,2000,0,2000,30315.51
2011,39210,,Recarrec Executiu,25000,0,25000,8240.78
2011,39211,,Recarrec d'Apremi,25000,0,25000,38658.81
2011,39301,,Interessos de Demora,25000,0,25000,22757.49
2011,39600,,Cannon d'urbanització,1,0,1,0
