#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción Económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2015.0.0.0112.0.310,0112,310,Operacions financeres,Interessos prèstecs,,,410038.83,-112778.06,297260.77,291396.48
2015.0.0.0112.0.913,0112,913,Operacions financeres,Amortitzacio prèstecs,,,1089686.15,-15000.0,1074686.15,1073820.91
2015.0.0.1320.0.12009,1320,12009,Seguretat i orgre públic,Retribucions bàsiques,,,430781.84,-16015.26,414766.58,460162.67
2015.0.0.1320.0.12103,1320,12103,Seguretat i orgre públic,Retribucions complementar,,,744380.55,23035.89,767416.44,720911.16
2015.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,35000.0,,35000.0,63400.72
2015.0.0.1320.0.16000,1320,16000,Seguretat i orgre públic,Quotes socials,,,375150.34,10800.24,385950.58,358659.05
2015.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,43836.76,,43836.76,33314.25
2015.0.0.1320.0.213,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,600.0,17339.13,17939.13,15402.56
2015.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,1530.0,348.74,1878.74,4689.52
2015.0.0.1320.0.22100,1320,22100,Seguretat i orgre públic,Subministres,,,18000.0,6513.61,24513.61,29847.56
2015.0.0.1320.1029.623,1320,623,Seguretat i orgre públic,"Maquinaria, instalaciones técnicas y utillaje",1029,Cameres Video PL [ZP2],,3563.0,3563.0,3563.0
2015.0.0.1320.0.625,1320,625,Seguretat i orgre públic,Mobiliario,,,,41797.17,41797.17,41797.17
2015.0.0.1320.1001.632,1320,632,Seguretat i orgre públic,Edificios y otras construcciones,1001,REHAB. CASSETES AGROCROS,,5444.05,5444.05,5444.05
2015.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Edificios y otras construcciones,1001,REHAB. CASSETES AGROCROS,,4008.4,4008.4,
