#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Área gasto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.9120.0.10001,9120,10001,Òrgans de govern,Altres remuneraciones òrgans de govern,,,ACTUACIONES DE CARÁCTER GENERAL,124230.0,1242.3,125472.3,125472.48
2017.0.0.1510.0.11002,1510,11002,Urbanisme,Altres remuneraciones personal eventual,,,SERVICIOS PÚBLICOS BÁSICOS,16160.0,161.6,16321.6,16321.62
2017.0.0.1320.0.12009,1320,12009,Seguretat i orgre públic,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,456371.21,-39449.62,416921.59,416921.59
2017.0.0.1510.0.12009,1510,12009,Urbanisme,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,119879.81,-30776.92,89102.89,84414.29
2017.0.0.1531.0.12009,1531,12009,Obres,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,78951.18,-27583.24,51367.94,49257.75
2017.0.0.1532.0.12009,1532,12009,Vies públiques,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,10598.08,105.98,10704.06,0.0
2017.0.0.1610.0.12009,1610,12009,Servei d'Aigua Potable,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,21170.85,-668.19,20502.66,20056.2
2017.0.0.1640.0.12009,1640,12009,Cementeri Municipal,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,19060.5,6005.95,25066.45,21925.96
2017.0.0.1650.0.12009,1650,12009,Enllumenat Públic,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,39346.61,-8006.11,31340.5,28117.36
2017.0.0.1700.0.12009,1700,12009,Medi ambient,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,20169.5,201.7,20371.2,20370.22
2017.0.0.1710.0.12009,1710,12009,Parcs i Jardins,Retribucions bàsiques,,,SERVICIOS PÚBLICOS BÁSICOS,29882.24,-9685.0,20197.24,19274.89
2017.0.0.2310.0.12009,2310,12009,Assistència Social,Retribucions bàsiques,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,83435.14,5395.09,88830.23,80508.01
2017.0.0.2313.0.12009,2313,12009,Prevenció Drogodependenc.,Otras retribuciones básicas,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,18439.68,184.4,18624.08,18622.94
