#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.0112.0.310,0112,310,Operacions financeres,Interessos prèstecs,,,323536.1,,,303253.14
2017.0.0.0112.0.913,0112,913,Operacions financeres,Amortització de prèstecs a llarg termini d'ents fora del sector públic,,,860767.83,2285.71,,775064.42
2017.0.0.1320.0.12009,1320,12009,Seguretat i orgre públic,Retribucions bàsiques,,,456371.21,-19753.66,,301995.01
2017.0.0.1320.0.12103,1320,12103,Seguretat i orgre públic,Retribucions complementar,,,756747.8,-33888.17,,508027.83
2017.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,66906.04,-2942.54,,43047.47
2017.0.0.1320.0.16000,1320,16000,Seguretat i orgre públic,Quotes socials,,,390908.57,-24015.96,,210756.15
2017.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,26055.9,10883.02,,19144.75
2017.0.0.1320.0.213,1320,213,Seguretat i orgre públic,"Rep mnment.conser.maquinaria, instal.técniques i utillatge",,,2000.0,1714.22,,1470.26
2017.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,3492.0,2594.8,,635.97
2017.0.0.1320.0.22100,1320,22100,Seguretat i orgre públic,Subministres,,,14372.28,,,6602.42
2017.0.0.1320.0.22104,1320,22104,Seguretat i orgre públic,Vestuari,,,5000.0,5324.0,,7200.16
2017.0.0.1320.0.22699,1320,22699,Seguretat i orgre públic,Altres despeses diverses,,,,,,671.25
2017.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Inversió reposició edificios i altres construccions,1001,REHAB. CASSETES AGROCROS,,4008.4,,
2017.0.0.1330.0.219,1330,219,Control del trànsit,Rep mnment.conser.altre immovilitzat material,,,7500.0,,,4513.94
2017.0.0.1330.0.22100,1330,22100,Control del trànsit,Subministres,,,2023.44,,,271.0
2017.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendaments d'edificis i altres construccions,,,3000.0,,,
2017.0.0.1331.0.22799,1331,22799,Recollida de vehicles,Treb.real.altres empreses,,,24544.0,,,16549.17
2017.0.0.1510.0.11002,1510,11002,Urbanisme,Altres remuneraciones personal eventual,,,16160.0,161.6,,11577.52
2017.0.0.1510.0.12009,1510,12009,Urbanisme,Retribucions bàsiques,,,119879.81,-30283.08,,60219.19
2017.0.0.1510.0.12103,1510,12103,Urbanisme,Retribucions complementar,,,161152.18,-37023.56,,86378.79
2017.0.0.1510.0.13002,1510,13002,Urbanisme,Otras remuneraciones,,,17943.41,2295.76,,14157.65
2017.0.0.1510.0.131,1510,131,Urbanisme,Laboral temporal,,,345.89,3.46,,
2017.0.0.1510.0.16000,1510,16000,Urbanisme,Quotes socials,,,96743.61,-20768.82,,43487.46
2017.0.0.1510.0.626,1510,626,Urbanisme,Inv. nova Equips informat,,,7358.34,,,
2017.0.0.1510.0.627,1510,627,Urbanisme,Proyectos complejos,,,130080.0,46877.83,,
2017.0.0.1510.0.681,1510,681,Urbanisme,Terrenos y bienes naturales,,,,63722.95,,63722.95
2017.1.0.1510.1620.627,1510,627,Urbanisme,Projectes complexos,1620,Habilitació local Parc de l'Alteró [PPOS 2016],,180284.04,,56903.32
2017.0.0.1531.0.12009,1531,12009,Obres,Retribucions bàsiques,,,78951.18,-27583.24,,34693.17
2017.0.0.1531.0.12103,1531,12103,Obres,Altres retribucions complementàries,,,105578.33,-27479.99,,51653.08
2017.0.0.1531.0.13002,1531,13002,Obres,Personal laboral fix,,,,,,14787.59
2017.0.0.1531.0.131,1531,131,Obres,Personal Laboral eventual,,,19395.82,26972.98,,2248.98
2017.0.0.1531.0.16000,1531,16000,Obres,Quotes socials,,,63160.46,-17010.04,,26365.88
2017.0.0.1531.0.204,1531,204,Obres,Arrendament vehicles,,,,112.32,,
2017.0.0.1531.0.22100,1531,22100,Obres,Subministres,,,7628.16,5157.42,,5396.83
2017.0.0.1531.0.623,1531,623,Obres,"Inversió nova en maquinaria, instalacions técniques i utillatge",,,3000.0,11000.0,,
2017.0.0.1531.1703.619,1531,619,Obres,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1703,Pla de Camins i Vials 2016-2017,,61912.97,,
2017.0.0.1531.1703.623,1531,623,Obres,"Inversió nova en maquinaria, instalacions técniques i utillatge",1703,Pla de Camins i Vials 2016-2017,,4666.97,,4666.97
2017.1.0.1531.1532.619,1531,619,Obres,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1532,Conveni Diputació connectivitat Rotondes Accés Polígons des de V-30 a AP-7,,22971.21,,
2017.1.0.1531.1607.624,1531,624,Obres,Elementos de transporte,1607,Vehicles Oficina Tècnica [prèstec 2016],,9204.29,,467.69
2017.0.0.1532.0.12009,1532,12009,Vies públiques,Retribucions bàsiques,,,10598.08,105.98,,
2017.0.0.1532.0.12103,1532,12103,Vies públiques,Retribucions complementar,,,11124.06,111.24,,
2017.0.0.1532.0.13002,1532,13002,Vies públiques,Personal laboral fix,,,,,,15505.09
2017.0.0.1532.0.16000,1532,16000,Vies públiques,Quotes socials,,,6621.49,66.21,,2600.29
2017.0.0.1532.0.210,1532,210,Vies públiques,Rep mnment.conser.Infrastructures i bens naturals,,,10000.0,43916.18,,37463.94
2017.0.0.1532.0.214,1532,214,Vies públiques,Rep mnment.conser.elements de transport,,,5000.0,,,1567.69
2017.0.0.1532.0.22699,1532,22699,Vies públiques,Otros gastos diversos,,,18000.0,7395.85,,14191.98
