#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
,0112,310,Entitats Financeres,Interessos prèstecs,,,423838.31,-45024.57,378813.74,378813.74
,0112,352,Entitats Financeres,Interessos de demora,,,0,0,0,0
,0112,913,Entitats Financeres,Amortitzacio prèstecs,,,387843.49,45024.57,432868.06,431581.85
,1320,120,Seguretat i orgre públic,Retribucions bàsiques,,,499187.22,-56510.46,442676.76,440298.76
,1320,121,Seguretat i orgre públic,Retribucions complementar,,,838634.16,-62713.38,775920.78,771802.3
,1320,151,Seguretat i orgre públic,Gratificacions,,,71067.52,0,71067.52,71846.87
,1320,160,Seguretat i orgre públic,Quotes socials,,,410344.61,56454.54,466799.15,472443.2
,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,45000,2650.75,47650.75,45420.16
,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,1000,0,1000,138.56
,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,2000,900,2900,1351.69
,1320,221,Seguretat i orgre públic,Subministres,,,20000,-5000,15000,21040.34
,1320,226,Seguretat i orgre públic,Despeses diverses,,,0,0,0,0
,1320,231,Seguretat i orgre públic,Despeses locomoció,,,5000,-3600,1400,0
,1320,623,Seguretat i orgre públic,Inv. nova maquinar. intst,,,0,0,0,0
,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,1001,REHAB. CASSETES AGROCROS,0,0,0,0
,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,1001,REHAB. CASSETES AGROCROS,0,9062.5,9062.5,0
,1320,623,Seguretat i orgre públic,Inv. nova maquinar. intst,1029,Cameres Video PL (ZP2),0,26377.61,26377.61,25166.46
,1321,227,Seguretat ciutadana,Treb.real.altres empreses,,,0,0,0,0
,1330,219,Control del trànsit,Rep.mment cons.altre Immo,,,10000,-4037,5963,7282.62
,1330,221,Control del trànsit,Subministres,,,5000,4075.63,9075.63,1891.86
,1330,611,Control del trànsit,Inversio reposicio infrae,1002,SEMAFORS NOUS I OPTIQUES,0,0,0,0
,1331,202,Recollida de vehicles,Arrendament edifici,,,18100,-15100,3000,3000
,1331,227,Recollida de vehicles,Treb.real.altres empreses,,,50000,-18833.84,31166.16,31166.16
,1510,120,Urbanisme,Retribucions bàsiques,,,101983.98,-3572.98,98411,83215.78
,1510,121,Urbanisme,Retribucions complementar,,,135215.64,-35550.69,99664.95,112420.46
,1510,160,Urbanisme,Quotes socials,,,69085.35,0,69085.35,63742.88
,1510,226,Urbanisme,Despeses diverses,,,5500,-795.88,4704.12,4704.12
,1510,227,Urbanisme,Treb.real.altres empreses,,,6000,-3795.66,2204.34,2204.34
,1510,626,Urbanisme,Inv. nova Equips informat,,,0,0,0,0
,1510,637,Urbanisme,Inv. respos Poject.compex,,,0,9000,9000,9000
,1510,626,Urbanisme,Inv. nova Equips informat,1003,CONVENI CARTOGRAFIA,0,0,0,0
,1522,212,Pla especial rehabilitaci,Rep.mment.i cons.edificis,,,0,11950.67,11950.67,0
,1540,120,Agencia de l'habitatge,Retribucions bàsiques,,,30045.4,-3189.94,26855.46,18281.95
,1540,121,Agencia de l'habitatge,Retribucions complementar,,,39511.36,-22657.59,16853.77,25427.18
,1540,160,Agencia de l'habitatge,Quotes socials,,,20258.69,0,20258.69,15168.91
,1540,202,Agencia de l'habitatge,Arrendament edifici,,,8600,-3108.22,5491.78,5491.78
,1540,226,Agencia de l'habitatge,Despeses diverses,,,1000,-562.18,437.82,408.72
,1550,120,Vies Públiques,Retribucions bàsiques,,,9604.56,-323.6,9280.96,0
,1550,121,Vies Públiques,Retribucions complementar,,,11115.86,0,11115.86,0
,1550,130,Vies Públiques,Personal laboral fix,,,0,89.31,89.31,20486.13
,1550,160,Vies Públiques,Quotes socials,,,6034.91,2374.73,8409.64,8308.05
,1550,210,Vies Públiques,Rep mment.conser.Infrastr,,,65000,-46507.55,18492.45,10321.21
,1550,213,Vies Públiques,Rep.mment i cons.Maquinar,,,5000,0,5000,15065.55
,1550,214,Vies Públiques,Rep.mment i cons. vehicle,,,5000,0,5000,2885.48
,1550,601,Vies Públiques,Inversió nova en infraest,1004,PLA VIALS NO MOT. PPOS 10,0,78298.91,78298.91,78298.76
,1550,611,Vies Públiques,Inversio reposicio infrae,1005,MOBILIARI URBA I SENYALS,0,0,0,0
,1550,611,Vies Públiques,Inversio reposicio infrae,1006,PLA MOBILITAT URBANA,0,0,0,0
,1550,612,Vies Públiques,Inv. rep infrastructures,1007,REURB C/ VALENCIA-ESPANYA,0,0,0,0
,1550,612,Vies Públiques,Inv. rep infrastructures,6,Urb. Av. Xuquer (pluvials,0,24582.75,24582.75,0
,1550,602,Vies Públiques,Inversio nova en infraest,5,Urbanit. Espioca (pluvial,0,25519.68,25519.68,0
,1550,603,Vies Públiques,Inversio nova en infraest,238,Molí Magallo,0,93156.88,93156.88,0
,1550,608,Vies Públiques,Altres inversions noves,415,Urbanitzacio Pla Bega,0,133148.91,133148.91,0
,1550,606,Vies Públiques,Inversió nova en Infraest,630,U.E. Maset,0,2782.36,2782.36,0
,1550,770,Vies Públiques,A Empresses Pivades,,,0,11680.91,11680.91,0
,1550,601,Vies Públiques,Inversió nova en infraest,804,Carril bici Port PPOS2008,0,7493.21,7493.21,7493.21
,1550,601,Vies Públiques,Inversió nova en infraest,905,MILLORA VIALS PPOS 2009,0,57023.97,57023.97,57023.9
,1550,623,Vies Públiques,Inv. nova maquinar. intst,917,ADQUISICIO MATERIAL OBRES,0,2044.24,2044.24,1755.32
,1550,601,Vies Públiques,Inversió nova en infraest,1004,PLA VIALS NO MOT. PPOS 10,0,0,0,0
,1550,611,Vies Públiques,Inversio reposicio infrae,1005,MOBILIARI URBA I SENYALS,0,16211.65,16211.65,8645.13
,1550,612,Vies Públiques,Inv. rep infrastructures,1036,Reurb carrer Sant Josep,0,146557.95,146557.95,146557.95
,1551,120,Obres,Retribucions bàsiques,,,70469.84,-23346.79,47123.05,24835.61
,1551,121,Obres,Retribucions complementar,,,82220.32,-34558.85,47661.47,26885.12
,1551,130,Obres,Personal laboral fix,,,0,0,0,40481.83
,1551,131,Obres,Personal Laboral eventual,,,45945.33,-33879.68,12065.65,24736.15
,1551,160,Obres,Quotes socials,,,57853.39,3300,61153.39,50964.98
,1551,204,Obres,Arrendament vehicles,,,27000,-9546.84,17453.16,17453.16
,1551,221,Obres,Subministres,,,20000,-8165.67,11834.33,11834.33
,1551,623,Obres,Inv. nova maquinar. intst,1008,MAQUINARIA OBRES,0,0,0,0
,1610,120,Servei d'Aigua Potable,Retribucions bàsiques,,,22276.38,-1119.4,21156.98,22080.11
,1610,121,Servei d'Aigua Potable,Retribucions complementar,,,27804.56,0,27804.56,26881.42
,1610,160,Servei d'Aigua Potable,Quotes socials,,,14586.28,4102.14,18688.42,18683.91
,1611,210,Clavegueram i Vessam.Aigu,Rep mment.conser.Infrastr,,,2500,-2075.24,424.76,424.76
,1612,210,Font del Manano,Rep mment.conser.Infrastr,,,1000,-1000,0,0
,1620,227,Recollida Fem i Net.viari,Treb.real.altres empreses,,,770000,84706.53,854706.53,797019.91
,1640,120,Cementeri Municipal,Retribucions bàsiques,,,17574.48,883.05,18457.53,19039.65
,1640,121,Cementeri Municipal,Retribucions complementar,,,24255.28,3794.26,28049.54,26960.18
,1640,160,Cementeri Municipal,Quotes socials,,,12183.09,2795.6,14978.69,15435.62
,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,10000,-8000,2000,2792.54
,1640,221,Cementeri Municipal,Subministres,,,1600,0,1600,795.18
,1640,622,Cementeri Municipal,In. nova Edificis i const,1009,PAVELLO NOUS NINXOLS,0,0,0,0
,1640,632,Cementeri Municipal,Inv. repos.Edificis i con,1010,SUBSTITUCIO COBERTES,0,0,0,0
,1640,611,Cementeri Municipal,Inversio reposicio infrae,708,Inversions Cementeri,0,63641.43,63641.43,55805.52
,1640,622,Cementeri Municipal,In. nova Edificis i const,1009,PAVELLO NOUS NINXOLS,0,4900.69,4900.69,4900.69
,1650,120,Enllumenat Públic,Retribucions bàsiques,,,42535.5,-3161.72,39373.78,38650.45
,1650,121,Enllumenat Públic,Retribucions complementar,,,63498.04,-2930.84,60567.2,60337.28
,1650,160,Enllumenat Públic,Quotes socials,,,30882.7,2600,33482.7,34342.61
,1650,210,Enllumenat Públic,Rep mment.conser.Infrastr,,,8000,0,8000,4501.97
,1650,213,Enllumenat Públic,Rep.mment i cons.Maquinar,,,15000,-6600,8400,520.92
,1650,221,Enllumenat Públic,Subministres,,,100000,153161.71,253161.71,263590.09
,1650,601,Enllumenat Públic,Inversió nova en infraest,,,0,9793.46,9793.46,0
,1650,611,Enllumenat Públic,Inversio reposicio infrae,1011,REPOS. ENLLUM (PAP 09-11),0,0,0,0
,1650,611,Enllumenat Públic,Inversio reposicio infrae,1011,REPOS. ENLLUM (PAP 09-11),0,81553.47,81553.47,46512.4
,1700,120,Medi ambient,Retribucions bàsiques,,,20633.9,-2520,18113.9,22639.77
,1700,121,Medi ambient,Retribucions complementar,,,25678.66,0,25678.66,29452.7
,1700,131,Medi ambient,Personal Laboral eventual,,,32244.06,-19571.76,12672.3,6543.45
,1700,160,Medi ambient,Quotes socials,,,22879.93,-2234.89,20645.04,18192.73
,1710,120,Parcs i Jardins,Retribucions bàsiques,,,48825.42,-22050.7,26774.72,37777.59
,1710,121,Parcs i Jardins,Retribucions complementar,,,56496.02,0,56496.02,44570.84
,1710,130,Parcs i Jardins,Personal laboral fix,,,0,0,0,0
,1710,160,Parcs i Jardins,Quotes socials,,,30675.3,-1482.26,29193.04,30069.22
,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,150000,-60794.66,89205.34,80371.93
,1710,221,Parcs i Jardins,Subministres,,,3000,-1200,1800,1800
,1710,226,Parcs i Jardins,Despeses diverses,,,20000,-20000,0,0
,1720,226,Protec. millora medi ambi,Despeses diverses,,,16500,-11897.66,4602.34,4064.12
