#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2016.0.0.0112.0.310,0112,310,Operacions financeres,Interessos prèstecs,,,170537.71,22834.34,193372.05,125806.78
2016.0.0.0112.0.913,0112,913,Operacions financeres,Amortitzacio prèstecs,,,636133.9,296178.12,932312.02,855100.74
2016.0.0.1320.0.12009,1320,12009,Seguretat i orgre públic,Retribucions bàsiques,,,445250.11,-39944.64,405305.47,296951.82
2016.0.0.1320.0.12103,1320,12103,Seguretat i orgre públic,Retribucions complementar,,,744000.96,,744000.96,494487.74
2016.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,66906.04,,66906.04,43736.21
2016.0.0.1320.0.16000,1320,16000,Seguretat i orgre públic,Quotes socials,,,389408.7,,389408.7,216650.21
2016.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,27576.6,,27576.6,21442.8
2016.0.0.1320.0.213,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,1182.97,2028.12,3211.09,3376.72
2016.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,117.16,3201.71,3318.87,1791.5
2016.0.0.1320.0.22100,1320,22100,Seguretat i orgre públic,Subministres,,,16973.7,5000.0,21973.7,15221.64
2016.0.0.1320.0.22104,1320,22104,Seguretat i orgre públic,Vestuario,,,,573.2,573.2,5045.21
2016.0.0.1320.0.23120,1320,23120,Seguretat i orgre públic,Despeses locomoció,,,15890.0,,15890.0,15890.0
2016.0.0.1320.0.624,1320,624,Seguretat i orgre públic,Elementos de transporte,,,2838.18,,2838.18,2838.18
2016.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Edificios y otras construcciones,1001,REHAB. CASSETES AGROCROS,,4008.4,4008.4,
2016.0.0.1330.0.219,1330,219,Control del trànsit,Rep.mment cons.altre Immo,,,,2644.51,2644.51,2379.52
2016.0.0.1330.0.22100,1330,22100,Control del trànsit,Subministres,,,3920.85,,3920.85,2486.72
2016.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendament edifici,,,3000.0,,3000.0,3000.0
2016.0.0.1331.0.22799,1331,22799,Recollida de vehicles,Treb.real.altres empreses,,,24544.0,,24544.0,14490.96
2016.0.0.1510.0.11002,1510,11002,Urbanisme,Otras remuneraciones,,,16160.0,,16160.0,11542.9
2016.0.0.1510.0.12009,1510,12009,Urbanisme,Retribucions bàsiques,,,111474.42,-52527.36,58947.06,64834.99
2016.0.0.1510.0.12103,1510,12103,Urbanisme,Retribucions complementar,,,145248.92,,145248.92,83083.24
2016.0.0.1510.0.13002,1510,13002,Urbanisme,Otras remuneraciones,,,15652.79,,15652.79,11183.16
2016.0.0.1510.0.131,1510,131,Urbanisme,Laboral temporal,,,8791.93,,8791.93,
