#Aplicación presupuestaria,Económico,Desc. capítulo,Descripción,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2015.0.0.0.0.11200,11200,IMPUESTOS DIRECTOS,I.B.I. Rústica,40387.15,,40387.15,41143.66
2015.0.0.0.0.11300,11300,IMPUESTOS DIRECTOS,I.B.I. Urbana,4274707.24,,4274707.24,4880675.93
2015.0.0.0.0.11400,11400,IMPUESTOS DIRECTOS,I.B.I. carac. Especials,30000.0,,30000.0,29209.14
2015.0.0.0.0.11500,11500,IMPUESTOS DIRECTOS,Imp. Vehic. trac. mecànic,1100000.0,,1100000.0,955416.3
2015.0.0.0.0.11600,11600,IMPUESTOS DIRECTOS,I.I.V.T.N. Urbana,170000.0,,170000.0,243751.99
2015.0.0.0.0.13000,13000,IMPUESTOS DIRECTOS,I.A.E. Activi. Empresaria,1033560.26,,1033560.26,954964.84
2015.0.0.0.0.29000,29000,IMPUESTOS INDIRECTOS,I.C.I.O,100000.0,,100000.0,164645.46
2015.0.0.0.0.30200,30200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Recollid. residus ur,80364.48,,80364.48,83612.94
2015.0.0.0.0.30900,30900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Servei Cementeri,5150.0,,5150.0,5382.05
2015.0.0.0.0.31300,31300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilitz. poliesport.,41200.0,,41200.0,13850.5
2015.0.0.0.0.31301,31301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utili. Piscina Estiu,61800.0,,61800.0,37005.15
2015.0.0.0.0.31900,31900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Captura Gossos,760.0,,760.0,100.0
2015.0.0.0.0.31901,31901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilit. locals Públi,2000.0,,2000.0,851.0
2015.0.0.0.0.32100,32100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicències urbanísti,20500.0,,20500.0,8403.17
2015.0.0.0.0.32200,32200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Llicènc. prim. ocup habit,15000.0,,15000.0,6093.86
2015.0.0.0.0.32500,32500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa exped. docum. admin.,2500.0,,2500.0,3175.81
2015.0.0.0.0.32600,32600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa serv.retir. vehicles,70000.0,,70000.0,34887.42
2015.0.0.0.0.32900,32900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicèn. obert. estab,61800.0,,61800.0,58708.1
2015.0.0.0.0.33100,33100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Entr. Vehi Voreres,104990.95,,104990.95,103271.15
