#Aplicación presupuestaria,Área gasto,Programa,Desc. programa,Económico,Desc. capítulo,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2018.0.0.1320.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1320,Seguretat i orgre públic,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,454167.61,-30544.07,423623.54,415413.13
2018.0.0.1320.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1320,Seguretat i orgre públic,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,749357.64,-35597.14,713760.5,707404.59
2018.0.0.1320.0.150,SERVICIOS PÚBLICOS BÁSICOS,1320,Seguretat i orgre públic,150,GASTOS DE PERSONAL,Productivitat,,,67575.1,-432.54,67142.56,59896.31
2018.0.0.1320.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1320,Seguretat i orgre públic,16000,GASTOS DE PERSONAL,Seguretat Social,,,394041.11,-31087.35,362953.76,303443.95
2018.0.0.1320.0.16200,SERVICIOS PÚBLICOS BÁSICOS,1320,Seguretat i orgre públic,16200,GASTOS DE PERSONAL,Formación y perfeccionamiento del personal,,,2000.0,-1500.0,500.0,500.0
2018.0.0.1510.0.11002,SERVICIOS PÚBLICOS BÁSICOS,1510,Urbanisme,11002,GASTOS DE PERSONAL,Altres remuneraciones personal eventual,,,16321.6,0.0,16321.6,16587.2
2018.0.0.1510.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1510,Urbanisme,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,109457.28,-18991.89,90465.39,87512.81
2018.0.0.1510.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1510,Urbanisme,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,146701.51,-14251.14,132450.37,122706.62
2018.0.0.1510.0.13002,SERVICIOS PÚBLICOS BÁSICOS,1510,Urbanisme,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,0.0,0.0,0.0,20933.7
2018.0.0.1510.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1510,Urbanisme,16000,GASTOS DE PERSONAL,Seguretat Social,,,84795.36,-2673.35,82122.01,65329.48
2018.0.0.1531.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1531,Obres,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,61187.05,-17404.67,43782.38,45871.31
2018.0.0.1531.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1531,Obres,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,80178.61,-29799.73,50378.88,70827.65
2018.0.0.1531.0.13002,SERVICIOS PÚBLICOS BÁSICOS,1531,Obres,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,0.0,11869.5,11869.5,27443.03
2018.0.0.1531.0.131,SERVICIOS PÚBLICOS BÁSICOS,1531,Obres,131,GASTOS DE PERSONAL,Laboral temporal,,,39179.56,0.0,39179.56,0.0
2018.0.0.1531.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1531,Obres,16000,GASTOS DE PERSONAL,Seguretat Social,,,56752.61,0.0,56752.61,36176.15
2018.0.0.1532.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1532,Vies públiques,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,10530.63,0.0,10530.63,2797.83
2018.0.0.1532.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1532,Vies públiques,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,11042.63,1464.21,12506.84,3279.53
2018.0.0.1532.0.13002,SERVICIOS PÚBLICOS BÁSICOS,1532,Vies públiques,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,0.0,21953.04,21953.04,38290.61
2018.0.0.1532.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1532,Vies públiques,16000,GASTOS DE PERSONAL,Seguretat Social,,,6687.71,0.0,6687.71,7288.02
