#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2018.0.0.0.0.11200,11200,IMPUESTOS DIRECTOS,I.B.I. Rústica,41798.0,0.0,41798.0,41807.01
2018.0.0.0.0.11300,11300,IMPUESTOS DIRECTOS,I.B.I. Urbana,4770731.81,0.0,4770731.81,4703212.66
2018.0.0.0.0.11400,11400,IMPUESTOS DIRECTOS,I.B.I. carac. Especials,29209.0,0.0,29209.0,29209.14
2018.0.0.0.0.11500,11500,IMPUESTOS DIRECTOS,Imp. Vehic. trac. mecànic,986179.77,0.0,986179.77,991932.55
2018.0.0.0.0.11600,11600,IMPUESTOS DIRECTOS,I.I.V.T.N. Urbana,250000.0,0.0,250000.0,184040.18
2018.0.0.0.0.13000,13000,IMPUESTOS DIRECTOS,I.A.E. Activi. Empresaria,956703.0,0.0,956703.0,759976.73
2018.0.0.0.0.29000,29000,IMPUESTOS INDIRECTOS,I.C.I.O,100000.0,0.0,100000.0,118533.02
2018.0.0.0.0.30200,30200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa recollida residus urbans,86512.96,0.0,86512.96,115903.41
2018.0.0.0.0.30900,30900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Servei Cementeri,4024.44,0.0,4024.44,4144.7
2018.0.0.0.0.31300,31300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilitz. poliesport.,13500.0,0.0,13500.0,6207.0
2018.0.0.0.0.31301,31301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utili. Piscina Estiu,35000.0,0.0,35000.0,41830.0
2018.0.0.0.0.31303,31303,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilització instal.lacions esportives-cursos natació,10490.0,0.0,10490.0,8828.0
2018.0.0.0.0.31900,31900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Gossos,1265.0,0.0,1265.0,146.0
2018.0.0.0.0.31901,31901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilit. locals Públi,637.95,0.0,637.95,375.7
2018.0.0.0.0.32100,32100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicències urbanísti,14464.66,0.0,14464.66,11155.07
2018.0.0.0.0.32200,32200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Llicènc. prim. ocup habit,4040.18,0.0,4040.18,4704.9
2018.0.0.0.0.32500,32500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa exped. docum. admin.,2982.69,0.0,2982.69,2521.0
2018.0.0.0.0.32600,32600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa serv.retir. vehicles,24561.9,0.0,24561.9,34341.18
2018.0.0.0.0.32900,32900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicèn. obert. estab,48381.35,0.0,48381.35,33597.38
2018.0.0.0.0.33100,33100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Entr. Vehi Voreres,113992.02,0.0,113992.02,118770.91
2018.0.0.0.0.33200,33200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl. Suministr,198351.0,0.0,198351.0,213278.22
2018.0.0.0.0.33400,33400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup. Vies Obres,12552.56,0.0,12552.56,10984.63
2018.0.0.0.0.33500,33500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup.Vies Taules i C,38233.66,0.0,38233.66,28862.43
2018.0.0.0.0.33600,33600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa ocupació vies públiques-caixers automàtics,2348.19,0.0,2348.19,0.0
2018.0.0.0.0.33800,33800,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Comp.Telef.Expaña SA,20229.94,0.0,20229.94,17897.8
2018.0.0.0.0.33900,33900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocu.Vies Mercat Fest,47713.97,0.0,47713.97,44069.39
2018.0.0.0.0.33901,33901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup Vies Fira S.Seb,0.0,0.0,0.0,19762.55
2018.0.0.0.0.34200,34200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E. cursos EPA,13160.0,0.0,13160.0,6425.0
2018.0.0.0.0.34201,34201,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Escoles N/P/E,8846.0,14515.0,23361.0,28560.0
2018.0.0.0.0.34202,34202,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C.Campament Estiu,17005.0,0.0,17005.0,15309.0
2018.0.0.0.0.34400,34400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Entrades Teatre,17560.35,0.0,17560.35,5896.0
2018.0.0.0.0.34401,34401,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",p.p. escola teatre,4275.6,0.0,4275.6,3640.0
2018.0.0.0.0.39100,39100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions urbanístiques,19985.44,0.0,19985.44,33075.03
2018.0.0.0.0.39110,39110,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions tributaries i anàlogues,1.0,0.0,1.0,0.0
