#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2017.0.0.0.0.11200,11200,IMPUESTOS DIRECTOS,I.B.I. Rústica,41105.0,,41105.0,41131.84
2017.0.0.0.0.11300,11300,IMPUESTOS DIRECTOS,I.B.I. Urbana,4744000.0,,4744000.0,4686377.02
2017.0.0.0.0.11400,11400,IMPUESTOS DIRECTOS,I.B.I. carac. Especials,29209.0,,29209.0,29209.14
2017.0.0.0.0.11500,11500,IMPUESTOS DIRECTOS,Imp. Vehic. trac. mecànic,957405.0,,957405.0,968742.41
2017.0.0.0.0.11600,11600,IMPUESTOS DIRECTOS,I.I.V.T.N. Urbana,270000.0,,270000.0,80519.0
2017.0.0.0.0.13000,13000,IMPUESTOS DIRECTOS,I.A.E. Activi. Empresaria,900000.0,,900000.0,770716.8
2017.0.0.0.0.29000,29000,IMPUESTOS INDIRECTOS,I.C.I.O,100000.0,,100000.0,79300.22
2017.0.0.0.0.30200,30200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa recollida residus urbans,80690.0,,80690.0,82036.31
2017.0.0.0.0.30900,30900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Servei Cementeri,5382.0,,5382.0,2964.96
2017.0.0.0.0.31300,31300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilitz. poliesport.,10174.67,,10174.67,3496.0
2017.0.0.0.0.31301,31301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utili. Piscina Estiu,38550.0,,38550.0,15754.1
2017.0.0.0.0.31303,31303,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilització instal.lacions esportives-cursos natació,10740.0,,10740.0,10490.0
2017.0.0.0.0.31900,31900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Captura Gossos,100.0,,100.0,1265.0
2017.0.0.0.0.31901,31901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilit. locals Públi,759.0,,759.0,470.0
2017.0.0.0.0.32100,32100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicències urbanísti,7307.0,,7307.0,14208.9
2017.0.0.0.0.32200,32200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Llicènc. prim. ocup habit,5518.0,,5518.0,3968.74
2017.0.0.0.0.32500,32500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa exped. docum. admin.,2100.0,,2100.0,2197.46
2017.0.0.0.0.32600,32600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa serv.retir. vehicles,24544.0,,24544.0,18095.7
2017.0.0.0.0.32900,32900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicèn. obert. estab,50385.33,,50385.33,35644.41
2017.0.0.0.0.33100,33100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Entr. Vehi Voreres,109000.0,,109000.0,111976.44
2017.0.0.0.0.33200,33200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl. Suministr,198351.0,,198351.0,58823.08
2017.0.0.0.0.33400,33400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup. Vies Obres,6424.0,,6424.0,9247.96
2017.0.0.0.0.33500,33500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup.Vies Taules i C,33306.0,,33306.0,28974.74
2017.0.0.0.0.33600,33600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa ocupació vies públiques-caixers automàtics,1730.0,,1730.0,
2017.0.0.0.0.33800,33800,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Comp.Telef.Expaña SA,19970.0,,19970.0,21658.11
2017.0.0.0.0.33900,33900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocu.Vies Mercat Fest,47000.0,,47000.0,47713.97
2017.0.0.0.0.33901,33901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup Vies Fira S.Seb,22525.0,,22525.0,18615.0
2017.0.0.0.0.34200,34200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E. cursos EPA,13160.0,,13160.0,555.0
2017.0.0.0.0.34201,34201,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Escoles N/P/E,3348.0,,3348.0,8846.0
2017.0.0.0.0.34202,34202,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C.Campament Estiu,11098.0,14582.0,25680.0,17005.0
2017.0.0.0.0.34400,34400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Entrades Teatre,3239.0,,3239.0,5570.0
2017.0.0.0.0.34401,34401,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",p.p. escola teatre,3075.0,,3075.0,3150.0
2017.0.0.0.0.39100,39100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions urbanístiques,9200.0,,9200.0,19985.44
2017.0.0.0.0.39110,39110,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions tributaries i anàlogues,1.0,,1.0,
2017.0.0.0.0.39120,39120,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multas por infracciones de la Ordenanza de circulación,109582.0,,109582.0,83270.94
2017.0.0.0.0.39190,39190,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Otras multas y sanciones,8350.0,,8350.0,670.0
2017.0.0.0.0.39200,39200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargos por declaración extemporánea sin requerimiento previo,1761.46,,1761.46,12.99
2017.0.0.0.0.39210,39210,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo ejecutivo,9708.0,,9708.0,6096.03
2017.0.0.0.0.39211,39211,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo de apremio,101000.0,,101000.0,103540.22
2017.0.0.0.0.39301,39301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Interessos de Demora,71787.0,,71787.0,51172.67
2017.0.0.0.0.39600,39600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Canon de urbanización,1.0,,1.0,4307.27
2017.0.0.0.0.39900,39900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Paper Cartro,34052.0,,34052.0,22594.82
2017.0.0.0.0.39901,39901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Edictes Contr,10000.0,22542.77,32542.77,27249.66
2017.0.0.0.0.39902,39902,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Conces. Aigua,,,,1325.43
2017.0.0.0.0.39903,39903,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ing.Con.Piscin.Estiu,14498.0,,14498.0,
2017.0.0.0.0.39905,39905,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ingr.Exec.Subsidiari,1.0,,1.0,
2017.0.0.0.0.39908,39908,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Subhasta Vedat,31138.09,,31138.09,
2017.0.0.0.0.39909,39909,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ingressos,15778.0,7346.27,23124.27,174051.89
2017.0.0.0.0.42000,42000,TRANSFERENCIA CORRIENTES,Participación en los Tributos del Estado,3539516.75,,3539516.75,3706935.84
2017.0.0.0.0.45001,45001,TRANSFERENCIA CORRIENTES,Otras transferencias incondicionadas,,179743.9,179743.9,179744.0
2017.0.0.0.0.45080,45080,TRANSFERENCIA CORRIENTES,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma,273289.56,1005429.75,1278719.31,1582768.76
2017.0.0.0.0.46100,46100,TRANSFERENCIA CORRIENTES,Subvencions Diputació,13259.27,233594.0,246853.27,199976.13
2017.0.0.0.0.46601,46601,TRANSFERENCIA CORRIENTES,Subvencio F.E.M.P.,,,,3684.95
2017.0.0.0.0.49700,49700,TRANSFERENCIA CORRIENTES,Otras transferencias de la Unión Europea,,,,-615.33
2017.0.0.0.0.52000,52000,INGRESOS PATRIMONIALES,Interessos Dipòsits E.B.,2252.78,,2252.78,353.94
2017.0.0.0.0.55003,55003,INGRESOS PATRIMONIALES,C.A. Bar Pisicna Estiu,7438.02,,7438.02,
