#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2016.0.0.0112.0.310,0112,310,Operacions financeres,Intereses,,,170537.71,22834.34,193372.05,145631.56
2016.0.0.0112.0.913,0112,913,Operacions financeres,Amortización de préstamos a largo plazo de entes de fuera del sector público,,,636133.9,296178.12,932312.02,932312.02
2016.0.0.1320.0.12009,1320,12009,Seguretat i orgre públic,Otras retribuciones básicas,,,445250.11,-87748.62,357501.49,418772.36
2016.0.0.1320.0.12103,1320,12103,Seguretat i orgre públic,Otros complementos,,,744000.96,-18023.04,725977.92,706706.01
2016.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Productividad,,,66906.04,,66906.04,58014.99
2016.0.0.1320.0.16000,1320,16000,Seguretat i orgre públic,Seguridad Social,,,389408.7,-26204.7,363204.0,322368.35
2016.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendamientos de material de transporte,,,27576.6,,27576.6,27576.6
2016.0.0.1320.0.213,1320,213,Seguretat i orgre públic,"Maquinaria, instalaciones técnicas y utillaje",,,1182.97,3017.6,4200.57,4469.28
2016.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Elementos de transporte,,,117.16,3224.23,3341.39,1917.02
2016.0.0.1320.0.22100,1320,22100,Seguretat i orgre públic,Energía eléctrica,,,16973.7,7170.6,24144.3,18333.56
2016.0.0.1320.0.22104,1320,22104,Seguretat i orgre públic,Vestuario,,,,5539.65,5539.65,9937.72
2016.0.0.1320.0.23120,1320,23120,Seguretat i orgre públic,Del personal no directivo,,,15890.0,,15890.0,15890.0
2016.0.0.1320.0.624,1320,624,Seguretat i orgre públic,Elementos de transporte,,,2838.18,,2838.18,2838.18
2016.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Edificios y otras construcciones,1001,REHAB. CASSETES AGROCROS,,4008.4,4008.4,
2016.0.0.1330.0.219,1330,219,Control del trànsit,Otro inmovilizado material,,,,6957.91,6957.91,7843.76
2016.0.0.1330.0.22100,1330,22100,Control del trànsit,Energía eléctrica,,,3920.85,4058.73,7979.58,6173.3
2016.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendamientos de edificios y otras construcciones,,,3000.0,3000.0,6000.0,6000.0
2016.0.0.1331.0.22799,1331,22799,Recollida de vehicles,Otros trabajos realizados por otras empresas y profesionales,,,24544.0,,24544.0,24166.12
2016.0.0.1510.0.11002,1510,11002,Urbanisme,Otras remuneraciones,,,16160.0,,16160.0,16160.06
2016.0.0.1510.0.12009,1510,12009,Urbanisme,Otras retribuciones básicas,,,111474.42,-52527.36,58947.06,89407.15
2016.0.0.1510.0.12103,1510,12103,Urbanisme,Otros complementos,,,145248.92,,145248.92,118616.34
